title,album,year,composer,lyricist,singer
"saa.Nwar waalaa vahii re saa.Nwar jiyaraa re jaraaye
साँवर वाला वही रे साँवर जियरा रे जराये",Pukaar,1939,Mir Sahab,Kamal Amrohi,"Naseem, Sardar Akhtar"
"chho.D aakaash ko sitaare zamii.n par laaye
छोड़ आकाश को सितारे ज़मीं पर लाये",Maaya Machhindra/ Illusion/ Triya Rajya,1932,Govindrao Tembe,Kumar,Govindrao Tembe
"kaahe ko mohe chhere re be_imanawaa
काहे को मोहे छेरे रे बेइमनवा",Pukaar,1939,Mir Sahab,Kamal Amrohi,"Sardar Akhtar, Chorus"
"raadhe raadhe, ba.nshii rahii pukaar
राधे राधे, बंशी रही पुकार",Kangan,1939,Saraswati Devi,Pt Narottam Vyas,Arun Kumar
"bande, naav kaa la.ngar cho.D
बन्दे, नाव का लंगर चोड़",Kangan,1939,Ramchandra Pal,Pt Narottam Vyas,Arun Kumar
"tan kaa kar le band kiwaa.Daa
तन का कर ले बन्द किवाड़ा",Vidyapati,1937,R C Boral,Kedar Sharma,"Kanan Devi, K C Dey/ K C Dey"
"are mai.n to luT ga_ii aake tere baaG me.n maalii
अरे मैं तो लुट गई आके तेरे बाग़ में माली",Aurat Ka Pyaar,1933,Mushtaq Ahmed,Aga H Kashmiri,Mukhtar Begum
"he ho dhoye mahobe ghaaT ... dhobiyaa re dhobiyaa kahaa.N tumhaaro
हे हो धोये महोबे घाट ... धोबिया रे धोबिया कहाँ तुम्हारो",Pukaar,1939,Mir Sahab,Kamal Amrohi,"Sardar Akhtar, Male Voice, Chorus"
"tum bin hamarii kaun Kabar le govardhan giridhaarii
तुम बिन हमरी कौन ख़बर ले गोवर्धन गिरिधारी",Pukaar,1939,Mir Sahab,Kamal Amrohi,Sheila
"kise karataa muurakh pyaar pyaar pyaar teraa kaun hai
किसे करता मूरख प्यार प्यार प्यार तेरा कौन है",Achhut Kanya,1936,Saraswati Devi,J S Kashyap 'Natawa',Ashok Kumar
"wo muqaddar na rahaa aur wo zamaanaa na rahaa
वो मुक़द्दर न रहा और वो ज़माना न रहा",Sheereen Farhaad,1931,Brujlal Verma,Agha Hashra Kashmiri,Master Nissar
"is paapa kii duniyaa se ab aur kahii.n le chal
इस पाप की दुनिया से अब और कहीं ले चल",Dukhiari/ A Tale Of Selfless Love (1937) and Zamana (1938),1937,Anil Biswas,Gauri Shankar Lal 'Akhtar',Amirbai
"terii maut kha.Dii ho sarahaane jidhar
तेरी मौत खड़ी हो सरहाने जिधर",Devdaas,1935,Timir Baran,Kedar Sharma,K C Dey
"kis na ye sab khel rachaayaa
किस न ये सब खेल रचाया",Dhartimata,1938,Pankaj Mullick,Pt. Sudarshan,Saigal
"bhuulii huii yaad aa_ii kahaanii, haay mohabbat, haay jawaanii
भूली हुई याद आई कहानी, हाय मोहब्बत, हाय जवानी",Toofaani Taarzan,1937,Master Mohammed,Pt Gyan,Ahmad Dilawar
"muralii madhur kahii.n baajii
मुरली मधुर कहीं बाजी",(Non-film),1930s,Dilip Kumar Roy,Meera Bai,Dilip Kumar Roy
"janam maraN ke saathii
जनम मरण के साथी",(Non-film),1930s,Dilip Kumar Roy,(Traditional),Dilip Kumar Roy
"saavan aaye yaa naa aaye piyaa ghar aaye saavan hai
सावन आये या ना आये पिया घर आये सावन है",Saadhana,1939,Anupam Ghatak,Kanhaiyalal Chaturvedi,Harish
"jidhar unakii tirachhii nazar ho ga_ii
जिधर उनकी तिरछी नज़र हो गई",Diljaani/ Mastaanaa/ Kunwaari,1935,Master Nagar Das Nayak,Ram Das 'Azaad',Master Fida Husain
"jag maa hii jug-jug jiyo
जग मा ही जुग-जुग जियो",Pukaar,1939,Mir Sahab,Kamal Amrohi,Female Voice?
